Lead_ID,Lead_Source,Region,Industry,Company_Size,Sales_Agent,Number_of_Calls,Number_of_Emails,Last_Interaction_Days,Contacted,Response,Converted,Deal_Value,Date_Created,Engagement_Score,Recency,Lead_Age_Days,Conversion_Probability,Lead_Score,Recommendation
LEAD_0011,Cold Call,South,Education,Enterprise,Amit,1.0,27.0,29,Yes,No Response,0,0.0,2026-03-25,42.5,Hot,42,0.26902491037945053,26.9,Low Priority - Nurture
LEAD_0012,Referral,Central,Technology,Enterprise,Sneha,19.0,14.0,136,No,No Response,0,0.0,2024-10-19,59.0,Cold,564,0.4087950832987512,40.88,Send Follow-up Email
LEAD_0013,LinkedIn,Central,Healthcare,Large,Amit,9.0,13.0,41,No,Positive,1,6664.75,2024-06-08,37.5,Warm,697,0.4448465275706651,44.48,Call Immediately
LEAD_0014,Website,Central,Finance,Small,Neha,9.0,26.0,164,Yes,Positive,1,131998.68,2025-06-12,57.0,Cold,328,0.44024869638090103,44.02,Re-engage Urgently
LEAD_0015,Cold Call,Central,Education,Small,Vikram,10.0,15.0,5,Yes,Negative,0,0.0,2025-12-30,42.5,Hot,127,0.35476120515249854,35.48,Send Follow-up Email
LEAD_0016,Website,South,Technology,Medium,Vikram,2.0,2.0,125,Yes,No Response,1,125591.5,2024-05-19,7.0,Cold,717,0.4313427910533647,43.13,Re-engage Urgently
LEAD_0017,Referral,Central,Finance,Large,Vikram,19.0,13.0,55,Yes,No Response,1,23616.76,2025-06-04,57.5,Warm,336,0.4021524370888288,40.22,Send Follow-up Email
LEAD_0018,Website,West,Education,Enterprise,Amit,7.0,7.0,17,No,Positive,0,0.0,2025-12-05,24.5,Hot,152,0.352389783703492,35.24,Send Follow-up Email
LEAD_0019,Cold Call,Central,Finance,Small,Amit,20.0,1.0,59,Yes,Positive,0,0.0,2025-07-08,41.5,Warm,302,0.37603177669210935,37.6,Send Follow-up Email
LEAD_0020,Cold Call,East,Retail,Medium,Vikram,4.0,23.0,147,No,Positive,1,15274.32,2026-05-05,42.5,Cold,1,0.3196853958150914,31.97,Low Priority - Nurture
LEAD_0021,Cold Call,North,Technology,Enterprise,Rahul,13.0,13.0,120,Yes,No Response,1,122087.06,2026-02-20,45.5,Cold,75,0.27704549309684545,27.7,Low Priority - Nurture
LEAD_0022,LinkedIn,West,Healthcare,Small,Priya,6.0,6.0,138,No,Positive,1,98696.06,2024-10-25,21.0,Cold,558,0.372194049951412,37.22,Send Follow-up Email
LEAD_0023,Website,West,Finance,Small,Sneha,17.0,3.0,13,Yes,Positive,0,0.0,2026-04-20,38.5,Hot,16,0.3672827185368506,36.73,Send Follow-up Email
LEAD_0024,Cold Call,West,Retail,Enterprise,Priya,12.0,28.0,16,Yes,No Response,1,128060.88,2025-04-06,66.0,Hot,395,0.27972966892019646,27.97,Low Priority - Nurture
LEAD_0025,Referral,East,Retail,Large,Sneha,17.0,21.0,125,Yes,Positive,0,0.0,2025-02-17,65.5,Cold,443,0.3917445040422574,39.17,Send Follow-up Email
LEAD_0026,LinkedIn,Central,Education,Small,Neha,10.0,1.0,13,No,No Response,0,0.0,2024-11-07,21.5,Hot,545,0.45425635605016723,45.43,Call Immediately
LEAD_0027,LinkedIn,Central,Technology,Medium,Amit,19.0,2.0,173,Yes,Negative,1,82013.29,2024-10-21,41.0,Cold,562,0.398737754397559,39.87,Send Follow-up Email
LEAD_0028,Email Campaign,South,Education,Small,Vikram,2.0,13.0,169,No,Negative,0,0.0,2025-05-14,23.5,Cold,357,0.32835460942922673,32.84,Low Priority - Nurture
LEAD_0029,Website,South,Healthcare,Enterprise,Priya,20.0,9.0,118,No,Positive,0,0.0,2025-06-09,53.5,Cold,331,0.3605896453598668,36.06,Send Follow-up Email
LEAD_0030,Email Campaign,Central,Technology,Small,Vikram,6.0,16.0,68,Yes,Negative,0,0.0,2024-08-26,36.0,Warm,618,0.4213365747238003,42.13,Re-engage Urgently
LEAD_0031,Website,East,Finance,Enterprise,Vikram,9.0,19.0,168,Yes,No Response,1,132494.19,2025-02-20,46.5,Cold,440,0.3869841120178246,38.7,Send Follow-up Email
LEAD_0032,LinkedIn,South,Healthcare,Small,Amit,17.0,4.0,70,No,No Response,1,48409.92,2024-10-16,40.0,Warm,567,0.38620063069607596,38.62,Send Follow-up Email
LEAD_0033,Website,South,Healthcare,Enterprise,Rahul,1.0,0.0,163,No,Negative,0,0.0,2025-06-20,2.0,Cold,320,0.3576333063480331,35.76,Send Follow-up Email
LEAD_0034,Website,South,Healthcare,Medium,Neha,14.0,17.0,110,Yes,Positive,0,0.0,2025-01-09,53.5,Cold,482,0.3968978058009786,39.69,Send Follow-up Email
LEAD_0035,Cold Call,Central,Technology,Large,Vikram,17.0,4.0,111,Yes,Positive,0,0.0,2026-05-05,40.0,Cold,1,0.32361610212772873,32.36,Low Priority - Nurture
LEAD_0036,LinkedIn,East,Finance,Medium,Neha,3.0,11.0,144,No,No Response,0,0.0,2024-08-10,22.5,Cold,634,0.41063251867739226,41.06,Send Follow-up Email
LEAD_0037,Cold Call,South,Finance,Enterprise,Amit,5.0,23.0,86,No,No Response,1,139235.75,2026-04-18,44.5,Warm,18,0.2645269108958429,26.45,Low Priority - Nurture
LEAD_0038,Website,South,Technology,Enterprise,Amit,15.0,7.0,52,No,Negative,1,122558.65,2024-07-07,40.5,Warm,668,0.39746463606002647,39.75,Send Follow-up Email
LEAD_0039,Cold Call,South,Technology,Medium,Sneha,10.0,8.0,18,No,Negative,0,0.0,2025-06-07,32.0,Hot,333,0.32413998355453866,32.41,Low Priority - Nurture
LEAD_0040,Referral,Central,Healthcare,Small,Amit,8.0,0.0,149,No,Positive,0,0.0,2025-11-19,16.0,Cold,168,0.42920688296910275,42.92,Re-engage Urgently
LEAD_0041,Referral,East,Healthcare,Enterprise,Vikram,16.0,3.0,99,Yes,Negative,0,0.0,2026-05-04,36.5,Cold,2,0.33540560831093946,33.54,Send Follow-up Email
LEAD_0042,Referral,North,Education,Medium,Rahul,13.0,2.0,171,No,No Response,0,0.0,2024-05-16,29.0,Cold,720,0.4082374566816831,40.82,Send Follow-up Email
LEAD_0043,LinkedIn,East,Education,Large,Neha,13.0,10.0,104,No,No Response,0,0.0,2024-08-14,41.0,Cold,630,0.3931572902886542,39.32,Send Follow-up Email
LEAD_0044,Referral,West,Finance,Large,Sneha,17.0,26.0,1,No,Negative,0,0.0,2025-01-22,73.0,Hot,469,0.34607010839969105,34.61,Send Follow-up Email
LEAD_0045,Email Campaign,Central,Healthcare,Enterprise,Sneha,14.0,21.0,55,No,No Response,0,0.0,2026-01-05,59.5,Warm,121,0.33981151393826514,33.98,Send Follow-up Email
LEAD_0046,LinkedIn,East,Education,Large,Amit,7.0,21.0,80,Yes,Positive,0,0.0,2025-07-09,45.5,Warm,301,0.3690473874804582,36.9,Send Follow-up Email
LEAD_0047,LinkedIn,South,Retail,Small,Sneha,13.0,28.0,162,Yes,No Response,0,0.0,2025-04-16,68.0,Cold,385,0.3425590527398339,34.26,Send Follow-up Email
LEAD_0048,Cold Call,South,Technology,Small,Sneha,7.0,5.0,179,No,Positive,1,76684.69,2025-02-09,21.5,Cold,451,0.3382505574686851,33.83,Send Follow-up Email
LEAD_0049,LinkedIn,West,Finance,Enterprise,Neha,16.0,17.0,153,No,Negative,0,0.0,2025-03-13,57.5,Cold,419,0.29151309423083793,29.15,Low Priority - Nurture
LEAD_0050,Email Campaign,West,Education,Enterprise,Priya,15.0,14.0,67,Yes,No Response,0,0.0,2026-03-30,51.0,Warm,37,0.25894718195232447,25.89,Low Priority - Nurture
LEAD_0051,Email Campaign,West,Finance,Large,Sneha,2.0,22.0,74,Yes,Negative,0,0.0,2025-01-27,37.0,Warm,464,0.30483566459468975,30.48,Low Priority - Nurture
LEAD_0052,Email Campaign,North,Finance,Medium,Priya,12.0,22.0,40,Yes,Positive,0,0.0,2025-10-23,57.0,Warm,195,0.339107926502302,33.91,Send Follow-up Email
LEAD_0053,Website,Central,Retail,Enterprise,Amit,6.0,26.0,108,No,No Response,0,0.0,2026-03-31,51.0,Cold,36,0.38922313079307996,38.92,Send Follow-up Email
LEAD_0054,Email Campaign,West,Retail,Small,Rahul,9.0,24.0,100,No,No Response,1,7832.13,2025-09-15,54.0,Cold,233,0.3151283905471796,31.51,Low Priority - Nurture
LEAD_0055,Email Campaign,South,Retail,Medium,Rahul,13.0,15.0,8,No,Negative,1,84189.18,2025-03-15,48.5,Hot,417,0.3442735138640911,34.43,Send Follow-up Email
LEAD_0056,Cold Call,West,Finance,Small,Sneha,18.0,18.0,170,Yes,No Response,1,120730.64,2024-11-25,63.0,Cold,527,0.2954142233421248,29.54,Low Priority - Nurture
LEAD_0057,Cold Call,West,Finance,Small,Rahul,12.0,10.0,55,No,Negative,0,0.0,2025-05-24,39.0,Warm,347,0.305753812508294,30.58,Low Priority - Nurture
LEAD_0058,Referral,East,Retail,Large,Amit,15.0,0.0,139,Yes,Negative,0,0.0,2025-04-27,30.0,Cold,374,0.3786779190261534,37.87,Send Follow-up Email
LEAD_0059,LinkedIn,North,Technology,Medium,Priya,0.0,19.0,40,Yes,Positive,0,0.0,2024-07-24,28.5,Warm,651,0.4198484197728334,41.98,Send Follow-up Email
LEAD_0060,LinkedIn,Central,Finance,Enterprise,Neha,8.0,24.0,95,Yes,No Response,0,0.0,2025-11-27,52.0,Cold,160,0.35134322643570765,35.13,Send Follow-up Email
LEAD_0061,LinkedIn,South,Healthcare,Small,Vikram,0.0,29.0,80,No,Negative,0,0.0,2026-01-17,43.5,Warm,109,0.33971819333461717,33.97,Send Follow-up Email
LEAD_0062,Email Campaign,South,Technology,Large,Neha,19.0,25.0,31,Yes,Negative,1,33757.82,2025-12-12,75.5,Warm,145,0.292637838692056,29.26,Low Priority - Nurture
LEAD_0063,Website,North,Education,Large,Amit,13.0,26.0,126,Yes,Negative,0,0.0,2024-12-11,65.0,Cold,511,0.3786123367042809,37.86,Send Follow-up Email
LEAD_0064,Referral,South,Retail,Medium,Neha,16.0,30.0,167,No,No Response,1,97159.84,2025-05-07,77.0,Cold,364,0.34944386851935194,34.94,Send Follow-up Email
LEAD_0065,Referral,West,Retail,Large,Rahul,7.0,26.0,23,No,Negative,1,83035.07,2024-10-01,53.0,Hot,582,0.36568081453213463,36.57,Send Follow-up Email
LEAD_0066,Referral,Central,Education,Enterprise,Rahul,0.0,15.0,84,Yes,Negative,0,0.0,2025-11-24,22.5,Warm,163,0.3745638550951902,37.46,Send Follow-up Email
LEAD_0067,Website,East,Healthcare,Large,Vikram,0.0,0.0,49,Yes,Positive,0,0.0,2024-06-06,0.0,Warm,699,0.4748286618216041,47.48,Re-engage Urgently
LEAD_0068,Cold Call,West,Retail,Enterprise,Amit,2.0,9.0,57,No,No Response,1,75843.79,2024-11-02,17.5,Warm,550,0.3072557972842058,30.73,Low Priority - Nurture
LEAD_0069,Email Campaign,East,Retail,Large,Sneha,17.0,10.0,91,No,Negative,0,0.0,2026-03-10,49.0,Cold,57,0.32023551100357334,32.02,Low Priority - Nurture
LEAD_0070,Cold Call,North,Finance,Large,Amit,17.0,30.0,177,Yes,Positive,0,0.0,2025-09-09,79.0,Cold,239,0.28343468971662994,28.34,Low Priority - Nurture
LEAD_0071,Referral,East,Education,Large,Amit,6.0,9.0,59,No,No Response,0,0.0,2025-07-13,25.5,Warm,297,0.39755779444193645,39.76,Send Follow-up Email
LEAD_0072,Email Campaign,South,Healthcare,Small,Amit,17.0,9.0,179,Yes,No Response,0,0.0,2025-11-23,47.5,Cold,164,0.30489731637977974,30.49,Low Priority - Nurture
LEAD_0073,LinkedIn,Central,Healthcare,Enterprise,Sneha,14.0,10.0,48,Yes,Negative,1,76177.41,2024-09-26,43.0,Warm,587,0.39376188106656285,39.38,Send Follow-up Email
LEAD_0074,LinkedIn,West,Retail,Small,Vikram,20.0,21.0,14,Yes,Positive,1,74270.73,2024-11-25,71.5,Hot,527,0.36738591431929846,36.74,Send Follow-up Email
LEAD_0075,LinkedIn,South,Technology,Enterprise,Vikram,0.0,25.0,159,Yes,No Response,1,142623.22,2025-05-13,37.5,Cold,358,0.31912518022417674,31.91,Low Priority - Nurture
LEAD_0076,Referral,East,Education,Enterprise,Rahul,18.0,19.0,16,Yes,Positive,0,0.0,2026-01-25,64.5,Hot,101,0.36016569200351695,36.02,Send Follow-up Email
LEAD_0077,Website,North,Finance,Medium,Priya,17.0,2.0,41,Yes,Negative,0,0.0,2025-06-04,37.0,Warm,336,0.40015510587695374,40.02,Send Follow-up Email
LEAD_0078,Email Campaign,West,Healthcare,Small,Priya,9.0,22.0,73,No,Positive,0,0.0,2025-03-31,51.0,Warm,401,0.34004711931872794,34.0,Send Follow-up Email
LEAD_0079,Email Campaign,South,Retail,Small,Vikram,7.0,20.0,39,No,Positive,1,138967.1,2024-12-01,44.0,Warm,521,0.37931647453312,37.93,Send Follow-up Email
LEAD_0080,Cold Call,East,Education,Large,Sneha,3.0,14.0,177,No,No Response,0,0.0,2025-07-19,27.0,Cold,291,0.318695143180186,31.87,Low Priority - Nurture
LEAD_0081,Website,Central,Education,Enterprise,Sneha,2.0,19.0,11,No,No Response,0,0.0,2025-06-01,32.5,Hot,339,0.435522346786041,43.55,Call Immediately
LEAD_0082,Website,North,Technology,Medium,Neha,18.0,18.0,6,No,No Response,0,0.0,2026-03-31,63.0,Hot,36,0.39145942449299187,39.15,Send Follow-up Email
LEAD_0083,Cold Call,West,Education,Enterprise,Rahul,5.0,18.0,112,No,Positive,0,0.0,2025-08-11,37.0,Cold,268,0.27119053592303455,27.12,Low Priority - Nurture
LEAD_0084,Referral,East,Healthcare,Small,Priya,10.0,13.0,178,No,No Response,0,0.0,2025-10-30,39.5,Cold,188,0.39115848055341024,39.12,Send Follow-up Email
LEAD_0085,Email Campaign,North,Retail,Small,Rahul,8.0,10.0,30,No,No Response,1,63065.58,2024-09-20,31.0,Hot,593,0.4017610693499322,40.18,Send Follow-up Email
LEAD_0086,Email Campaign,West,Retail,Small,Priya,16.0,11.0,160,No,No Response,1,5166.9,2025-06-24,48.5,Cold,316,0.3119618633708813,31.2,Low Priority - Nurture
LEAD_0087,LinkedIn,South,Healthcare,Medium,Rahul,14.0,28.0,179,No,Positive,0,0.0,2024-11-21,70.0,Cold,531,0.3508614072484291,35.09,Send Follow-up Email
LEAD_0088,Email Campaign,South,Finance,Large,Vikram,0.0,17.0,105,Yes,Positive,0,0.0,2025-12-31,25.5,Cold,126,0.3061583703769388,30.62,Low Priority - Nurture
LEAD_0089,Referral,North,Finance,Enterprise,Neha,9.0,16.0,70,No,Negative,1,137374.83,2025-05-21,42.0,Warm,350,0.35802676722000315,35.8,Send Follow-up Email
LEAD_0090,Email Campaign,South,Retail,Medium,Vikram,16.0,23.0,35,Yes,Negative,1,40340.98,2026-04-27,66.5,Warm,9,0.2935980743631439,29.36,Low Priority - Nurture
LEAD_0091,Website,Central,Healthcare,Small,Rahul,9.0,26.0,151,No,Positive,1,128889.8,2025-05-14,57.0,Cold,357,0.4545701830899111,45.46,Re-engage Urgently
LEAD_0092,Referral,East,Healthcare,Enterprise,Sneha,10.0,27.0,49,Yes,No Response,0,0.0,2025-12-19,60.5,Warm,138,0.35814869678879263,35.81,Send Follow-up Email
LEAD_0093,Referral,North,Healthcare,Enterprise,Neha,12.0,12.0,170,Yes,Negative,0,0.0,2024-06-23,42.0,Cold,682,0.3655477052573065,36.55,Send Follow-up Email
LEAD_0094,Email Campaign,East,Technology,Enterprise,Amit,16.0,29.0,117,Yes,No Response,1,23305.71,2024-11-03,75.5,Cold,549,0.34236705706882475,34.24,Send Follow-up Email
LEAD_0095,Cold Call,North,Retail,Large,Rahul,19.0,22.0,102,Yes,Negative,0,0.0,2024-09-21,71.0,Cold,592,0.3157457943149487,31.57,Low Priority - Nurture
LEAD_0096,Referral,East,Retail,Small,Vikram,0.0,7.0,162,No,Positive,1,129604.62,2025-04-03,10.5,Cold,398,0.436506786643957,43.65,Re-engage Urgently
LEAD_0097,LinkedIn,North,Retail,Medium,Neha,9.0,28.0,8,Yes,Negative,1,67925.86,2025-09-20,60.0,Hot,228,0.35604938320426865,35.6,Send Follow-up Email
LEAD_0098,Website,West,Finance,Medium,Vikram,13.0,18.0,175,Yes,Positive,1,47538.33,2024-11-16,53.0,Cold,536,0.370309000195291,37.03,Send Follow-up Email
LEAD_0099,Email Campaign,West,Education,Medium,Sneha,18.0,4.0,60,No,No Response,0,0.0,2025-08-18,42.0,Warm,261,0.3068645194595221,30.69,Low Priority - Nurture
LEAD_0100,Website,North,Retail,Large,Neha,17.0,5.0,19,No,Negative,0,0.0,2024-12-20,41.5,Hot,502,0.4163847278562299,41.64,Send Follow-up Email
LEAD_0101,Referral,East,Retail,Large,Priya,12.0,27.0,124,Yes,Positive,1,48377.37,2025-01-09,64.5,Cold,482,0.39742592214473743,39.74,Send Follow-up Email
LEAD_0102,Website,Central,Healthcare,Large,Amit,12.0,8.0,3,Yes,No Response,0,0.0,2025-05-21,36.0,Hot,350,0.4451114060278862,44.51,Call Immediately
LEAD_0103,Website,South,Education,Large,Priya,20.0,6.0,159,No,No Response,1,125761.64,2024-05-23,49.0,Cold,713,0.390149547333859,39.01,Send Follow-up Email
LEAD_0104,Cold Call,North,Technology,Large,Sneha,1.0,18.0,94,Yes,Positive,1,116283.26,2026-03-14,29.0,Cold,53,0.30503347466683034,30.5,Low Priority - Nurture
LEAD_0105,Referral,South,Finance,Medium,Vikram,11.0,16.0,129,No,Positive,1,52374.27,2024-09-17,46.0,Cold,596,0.3912826674303464,39.13,Send Follow-up Email
LEAD_0106,Referral,East,Healthcare,Small,Sneha,2.0,4.0,58,No,No Response,0,0.0,2025-05-21,10.0,Warm,350,0.44009051254996945,44.01,Re-engage Urgently
LEAD_0107,Referral,North,Healthcare,Small,Sneha,11.0,21.0,173,No,No Response,0,0.0,2025-05-02,53.5,Cold,369,0.38583404680400524,38.58,Send Follow-up Email
LEAD_0108,Website,North,Finance,Enterprise,Amit,19.0,28.0,144,No,No Response,0,0.0,2025-09-13,80.0,Cold,235,0.3479331782314414,34.79,Send Follow-up Email
LEAD_0109,LinkedIn,West,Healthcare,Enterprise,Amit,4.0,1.0,10,No,Negative,0,0.0,2026-01-08,9.5,Hot,118,0.307736724116011,30.77,Low Priority - Nurture
LEAD_0110,Cold Call,Central,Finance,Enterprise,Sneha,11.0,21.0,179,No,No Response,0,0.0,2026-03-07,53.5,Cold,60,0.2965511756185319,29.66,Low Priority - Nurture
LEAD_0111,Referral,North,Retail,Enterprise,Rahul,0.0,22.0,95,Yes,Negative,1,27405.82,2025-11-06,33.0,Cold,181,0.3422427871899221,34.22,Send Follow-up Email
LEAD_0112,Cold Call,East,Technology,Large,Vikram,0.0,11.0,16,No,Negative,0,0.0,2025-07-02,16.5,Hot,308,0.3520574912864555,35.21,Send Follow-up Email
LEAD_0113,LinkedIn,West,Technology,Medium,Neha,20.0,19.0,6,Yes,Negative,0,0.0,2025-06-14,68.5,Hot,326,0.32668801819006077,32.67,Low Priority - Nurture
LEAD_0114,Cold Call,Central,Finance,Small,Vikram,6.0,18.0,56,Yes,Negative,0,0.0,2025-09-27,39.0,Warm,221,0.3588207982331722,35.88,Send Follow-up Email
LEAD_0115,Email Campaign,North,Healthcare,Medium,Priya,17.0,8.0,45,Yes,No Response,1,119353.34,2025-02-22,46.0,Warm,438,0.35609063135155555,35.61,Send Follow-up Email
LEAD_0116,Website,South,Education,Large,Amit,5.0,8.0,14,Yes,No Response,1,24111.47,2025-08-20,22.0,Hot,259,0.38046919755996567,38.05,Send Follow-up Email
LEAD_0117,LinkedIn,North,Retail,Enterprise,Rahul,16.0,18.0,28,No,No Response,0,0.0,2024-09-10,59.0,Hot,603,0.3733249610208268,37.33,Send Follow-up Email
LEAD_0118,Email Campaign,North,Education,Large,Sneha,20.0,0.0,8,Yes,Negative,0,0.0,2026-02-27,40.0,Hot,68,0.30753088843765936,30.75,Low Priority - Nurture
LEAD_0119,LinkedIn,West,Retail,Small,Amit,10.0,19.0,38,Yes,Positive,1,66809.67,2024-09-21,48.5,Warm,592,0.37912430635976424,37.91,Send Follow-up Email
LEAD_0120,Email Campaign,Central,Healthcare,Enterprise,Vikram,16.0,9.0,117,No,Positive,0,0.0,2025-08-11,45.5,Cold,268,0.3532696501206989,35.33,Send Follow-up Email
LEAD_0121,Email Campaign,South,Retail,Enterprise,Priya,13.0,10.0,117,No,Negative,1,21590.04,2024-07-30,41.0,Cold,645,0.3237435782401868,32.37,Low Priority - Nurture
LEAD_0122,Website,East,Healthcare,Medium,Neha,15.0,2.0,24,Yes,Positive,1,50319.51,2025-06-11,33.0,Hot,329,0.4417912161722125,44.18,Call Immediately
LEAD_0123,Website,South,Education,Small,Vikram,17.0,17.0,85,Yes,Negative,0,0.0,2024-05-31,59.5,Warm,705,0.4120674609581702,41.21,Send Follow-up Email
LEAD_0124,Referral,North,Healthcare,Large,Rahul,3.0,18.0,130,Yes,Positive,0,0.0,2024-11-18,33.0,Cold,534,0.39301298586685546,39.3,Send Follow-up Email
LEAD_0125,LinkedIn,East,Education,Large,Amit,8.0,18.0,58,No,No Response,1,37515.51,2024-05-21,43.0,Warm,715,0.4103490858424999,41.03,Send Follow-up Email
LEAD_0126,Email Campaign,Central,Technology,Large,Amit,5.0,8.0,180,No,Negative,1,123671.89,2025-01-28,22.0,Cold,463,0.371940902751395,37.19,Send Follow-up Email
LEAD_0127,Cold Call,South,Education,Enterprise,Amit,4.0,23.0,163,Yes,Positive,0,0.0,2025-07-12,42.5,Cold,298,0.27466615514329634,27.47,Low Priority - Nurture
LEAD_0128,Referral,West,Healthcare,Medium,Rahul,9.0,23.0,84,Yes,Positive,1,36194.27,2025-12-26,52.5,Warm,131,0.3340173004984314,33.4,Send Follow-up Email
LEAD_0129,Email Campaign,North,Technology,Large,Sneha,13.0,15.0,156,No,Negative,0,0.0,2025-08-12,48.5,Cold,267,0.31401358445718214,31.4,Low Priority - Nurture
LEAD_0130,Email Campaign,North,Healthcare,Enterprise,Amit,9.0,21.0,174,No,No Response,0,0.0,2024-12-23,49.5,Cold,499,0.32276834256757286,32.28,Low Priority - Nurture
LEAD_0131,Referral,Central,Technology,Small,Priya,9.0,30.0,55,Yes,Negative,1,11585.52,2025-04-24,63.0,Warm,377,0.43290593879592587,43.29,Re-engage Urgently
LEAD_0132,LinkedIn,North,Retail,Enterprise,Priya,4.0,12.0,137,Yes,No Response,0,0.0,2026-04-10,26.0,Cold,26,0.3114671083259503,31.15,Low Priority - Nurture
LEAD_0133,Website,North,Retail,Small,Sneha,0.0,14.0,20,No,No Response,0,0.0,2025-04-19,21.0,Hot,382,0.4516460345348722,45.16,Call Immediately
LEAD_0134,Referral,West,Healthcare,Small,Sneha,0.0,30.0,84,Yes,No Response,0,0.0,2025-09-22,45.0,Warm,226,0.35201116652081194,35.2,Send Follow-up Email
LEAD_0135,Website,North,Retail,Small,Priya,13.0,18.0,103,Yes,Negative,0,0.0,2025-10-23,53.0,Cold,195,0.38983544194476555,38.98,Send Follow-up Email
LEAD_0136,Cold Call,East,Finance,Small,Vikram,20.0,3.0,136,Yes,Negative,1,113141.7,2025-10-17,44.5,Cold,201,0.3206229640929706,32.06,Low Priority - Nurture
LEAD_0137,Cold Call,South,Technology,Medium,Rahul,6.0,5.0,155,Yes,No Response,0,0.0,2025-05-10,19.5,Cold,361,0.3101654299566071,31.02,Low Priority - Nurture
LEAD_0138,Referral,West,Education,Enterprise,Neha,18.0,20.0,163,No,No Response,0,0.0,2026-01-21,66.0,Cold,105,0.28441629933435875,28.44,Low Priority - Nurture
LEAD_0139,Referral,North,Retail,Enterprise,Neha,9.0,25.0,71,Yes,Negative,0,0.0,2025-09-01,55.5,Warm,247,0.34286952449941793,34.29,Send Follow-up Email
LEAD_0140,Website,West,Retail,Small,Amit,11.0,26.0,74,Yes,No Response,0,0.0,2025-10-15,61.0,Warm,203,0.3653698780346582,36.54,Send Follow-up Email
LEAD_0141,Email Campaign,Central,Education,Enterprise,Sneha,18.0,17.0,11,No,No Response,1,129017.54,2025-09-02,61.5,Hot,246,0.3521962454700063,35.22,Send Follow-up Email
LEAD_0142,Referral,Central,Finance,Small,Sneha,3.0,25.0,88,Yes,No Response,1,51621.38,2025-01-10,43.5,Warm,481,0.4460624388180238,44.61,Re-engage Urgently
LEAD_0143,LinkedIn,South,Retail,Enterprise,Vikram,16.0,19.0,41,No,Negative,0,0.0,2024-05-27,60.5,Warm,709,0.35462200266127436,35.46,Send Follow-up Email
LEAD_0144,Website,Central,Technology,Large,Amit,10.0,3.0,143,No,Negative,1,61175.4,2025-12-23,24.5,Cold,134,0.4064380384174218,40.64,Send Follow-up Email
LEAD_0145,Email Campaign,South,Healthcare,Small,Vikram,4.0,29.0,90,No,No Response,0,0.0,2026-02-13,51.5,Warm,82,0.32080264493233607,32.08,Low Priority - Nurture
LEAD_0146,Email Campaign,North,Healthcare,Enterprise,Neha,10.0,26.0,33,Yes,No Response,1,61833.91,2025-12-13,59.0,Warm,144,0.3069134539432182,30.69,Low Priority - Nurture
LEAD_0147,LinkedIn,East,Healthcare,Medium,Priya,10.0,30.0,125,Yes,Positive,1,78730.83,2024-09-27,65.0,Cold,586,0.39781259134180086,39.78,Send Follow-up Email
LEAD_0148,Website,North,Education,Small,Neha,10.0,28.0,159,Yes,No Response,1,27467.05,2024-06-26,62.0,Cold,679,0.4244169131083429,42.44,Re-engage Urgently
LEAD_0149,Cold Call,South,Education,Medium,Neha,14.0,1.0,106,No,No Response,0,0.0,2025-12-25,29.5,Cold,132,0.29193406708838304,29.19,Low Priority - Nurture
