Lead_ID,Lead_Source,Region,Industry,Company_Size,Sales_Agent,Number_of_Calls,Number_of_Emails,Last_Interaction_Days,Contacted,Response,Converted,Deal_Value,Date_Created
LEAD_0028,Email Campaign,South,Education,Small,Vikram,2.0,13.0,169,No,Negative,0,0.0,2025-05-14
LEAD_0029,Website,South,Healthcare,Enterprise,Priya,20.0,9.0,118,No,Positive,0,0.0,2025-06-09
LEAD_0030,Email Campaign,Central,Technology,Small,Vikram,6.0,16.0,68,Yes,Negative,0,0.0,2024-08-26
LEAD_0031,Website,East,Finance,Enterprise,Vikram,9.0,19.0,168,Yes,No Response,1,132494.19,2025-02-20
LEAD_0032,LinkedIn,South,Healthcare,Small,Amit,17.0,4.0,70,No,No Response,1,48409.92,2024-10-16
LEAD_0033,Website,South,Healthcare,Enterprise,Rahul,1.0,,163,No,Negative,0,0.0,2025-06-20
LEAD_0034,Website,South,Healthcare,Medium,Neha,14.0,17.0,110,Yes,Positive,0,0.0,2025-01-09
LEAD_0035,Cold Call,Central,Technology,Large,Vikram,17.0,4.0,111,Yes,Positive,0,0.0,2026-05-05
LEAD_0036,LinkedIn,East,Finance,Medium,Neha,3.0,11.0,144,No,No Response,0,0.0,2024-08-10
LEAD_0037,Cold Call,South,Finance,Enterprise,Amit,5.0,23.0,86,No,No Response,1,139235.75,2026-04-18
LEAD_0038,Website,South,Technology,Enterprise,Amit,15.0,7.0,52,No,Negative,1,122558.65,2024-07-07
LEAD_0039,Cold Call,South,Technology,Medium,Sneha,10.0,8.0,18,No,Negative,0,0.0,2025-06-07
LEAD_0040,Referral,Central,Healthcare,Small,Amit,8.0,,149,No,Positive,0,0.0,2025-11-19
LEAD_0041,Referral,East,Healthcare,Enterprise,Vikram,16.0,3.0,99,Yes,Negative,0,0.0,2026-05-04
LEAD_0042,Referral,North,Education,Medium,Rahul,13.0,2.0,171,No,No Response,0,0.0,2024-05-16
LEAD_0043,LinkedIn,East,Education,Large,Neha,13.0,10.0,104,No,No Response,0,0.0,2024-08-14
LEAD_0044,Referral,West,Finance,Large,Sneha,17.0,26.0,1,No,Negative,0,0.0,2025-01-22
LEAD_0045,Email Campaign,Central,Healthcare,Enterprise,Sneha,14.0,21.0,55,No,No Response,0,0.0,2026-01-05
LEAD_0046,LinkedIn,East,Education,Large,Amit,7.0,21.0,80,Yes,Positive,0,0.0,2025-07-09
LEAD_0047,LinkedIn,South,Retail,Small,Sneha,13.0,28.0,162,Yes,No Response,0,0.0,2025-04-16
LEAD_0048,Cold Call,South,Technology,Small,Sneha,7.0,5.0,179,No,Positive,1,76684.69,2025-02-09
LEAD_0049,LinkedIn,West,Finance,Enterprise,Neha,16.0,17.0,153,No,Negative,0,0.0,2025-03-13
LEAD_0050,Email Campaign,West,Education,Enterprise,Priya,15.0,14.0,67,Yes,No Response,0,0.0,2026-03-30
LEAD_0051,Email Campaign,West,Finance,Large,Sneha,2.0,22.0,74,Yes,Negative,0,0.0,2025-01-27
LEAD_0052,Email Campaign,North,Finance,Medium,Priya,12.0,22.0,40,Yes,Positive,0,0.0,2025-10-23
LEAD_0053,Website,Central,Retail,Enterprise,Amit,6.0,26.0,108,No,No Response,0,0.0,2026-03-31
LEAD_0054,Email Campaign,West,Retail,Small,Rahul,9.0,24.0,100,No,No Response,1,7832.13,2025-09-15
LEAD_0055,Email Campaign,South,Retail,Medium,Rahul,13.0,15.0,8,No,Negative,1,84189.18,2025-03-15
LEAD_0056,Cold Call,West,Finance,Small,Sneha,18.0,18.0,170,Yes,,1,120730.64,2024-11-25
LEAD_0057,Cold Call,West,Finance,Small,Rahul,12.0,10.0,55,No,Negative,0,0.0,2025-05-24
LEAD_0058,Referral,East,Retail,Large,Amit,15.0,0.0,139,Yes,Negative,0,0.0,2025-04-27
LEAD_0059,LinkedIn,North,Technology,Medium,Priya,0.0,19.0,40,Yes,Positive,0,0.0,2024-07-24
LEAD_0060,LinkedIn,Central,Finance,Enterprise,Neha,8.0,24.0,95,Yes,No Response,0,0.0,2025-11-27
LEAD_0061,LinkedIn,South,Healthcare,Small,Vikram,0.0,29.0,80,No,Negative,0,0.0,2026-01-17
LEAD_0062,Email Campaign,South,Technology,Large,Neha,19.0,25.0,31,Yes,Negative,1,33757.82,2025-12-12
LEAD_0063,Website,North,Education,Large,Amit,13.0,26.0,126,Yes,Negative,0,0.0,2024-12-11
LEAD_0064,Referral,South,Retail,Medium,Neha,16.0,30.0,167,No,,1,97159.84,2025-05-07
LEAD_0065,Referral,West,Retail,Large,Rahul,7.0,26.0,23,No,Negative,1,83035.07,2024-10-01
LEAD_0066,Referral,Central,Education,Enterprise,Rahul,0.0,15.0,84,Yes,Negative,0,0.0,2025-11-24
LEAD_0067,Website,East,Healthcare,Large,Vikram,0.0,,49,Yes,Positive,0,0.0,2024-06-06
LEAD_0068,Cold Call,West,Retail,Enterprise,Amit,2.0,9.0,57,No,No Response,1,75843.79,2024-11-02
LEAD_0069,Email Campaign,East,Retail,Large,Sneha,17.0,10.0,91,No,Negative,0,0.0,2026-03-10
LEAD_0070,Cold Call,North,Finance,Large,Amit,17.0,30.0,177,Yes,Positive,0,0.0,2025-09-09
LEAD_0071,Referral,East,Education,Large,Amit,6.0,9.0,59,No,,0,0.0,2025-07-13
LEAD_0072,Email Campaign,South,Healthcare,Small,Amit,17.0,9.0,179,Yes,No Response,0,0.0,2025-11-23
LEAD_0073,LinkedIn,Central,Healthcare,Enterprise,Sneha,14.0,10.0,48,Yes,Negative,1,76177.41,2024-09-26
LEAD_0074,LinkedIn,West,Retail,Small,Vikram,20.0,21.0,14,Yes,Positive,1,74270.73,2024-11-25
LEAD_0075,LinkedIn,South,Technology,Enterprise,Vikram,,25.0,159,Yes,No Response,1,142623.22,2025-05-13
LEAD_0076,Referral,East,Education,Enterprise,Rahul,18.0,19.0,16,Yes,Positive,0,0.0,2026-01-25
LEAD_0077,Website,North,Finance,Medium,Priya,17.0,2.0,41,Yes,Negative,0,0.0,2025-06-04
LEAD_0078,Email Campaign,West,Healthcare,Small,Priya,9.0,22.0,73,No,Positive,0,0.0,2025-03-31
LEAD_0079,Email Campaign,South,Retail,Small,Vikram,7.0,20.0,39,No,Positive,1,138967.1,2024-12-01
LEAD_0080,Cold Call,East,Education,Large,Sneha,3.0,14.0,177,No,No Response,0,0.0,2025-07-19
LEAD_0081,Website,Central,Education,Enterprise,Sneha,2.0,19.0,11,No,No Response,0,0.0,2025-06-01
LEAD_0082,Website,North,Technology,Medium,Neha,18.0,18.0,6,No,No Response,0,0.0,2026-03-31
LEAD_0083,Cold Call,West,Education,Enterprise,Rahul,5.0,18.0,112,No,Positive,0,0.0,2025-08-11
LEAD_0084,Referral,East,Healthcare,Small,Priya,10.0,13.0,178,No,,0,0.0,2025-10-30
LEAD_0085,Email Campaign,North,Retail,Small,Rahul,8.0,10.0,30,No,No Response,1,63065.58,2024-09-20
LEAD_0086,Email Campaign,West,Retail,Small,Priya,16.0,11.0,160,No,,1,5166.9,2025-06-24
LEAD_0087,LinkedIn,South,Healthcare,Medium,Rahul,14.0,28.0,179,No,Positive,0,0.0,2024-11-21
LEAD_0088,Email Campaign,South,Finance,Large,Vikram,,17.0,105,Yes,Positive,0,0.0,2025-12-31
LEAD_0089,Referral,North,Finance,Enterprise,Neha,9.0,16.0,70,No,Negative,1,137374.83,2025-05-21
LEAD_0090,Email Campaign,South,Retail,Medium,Vikram,16.0,23.0,35,Yes,Negative,1,40340.98,2026-04-27
LEAD_0091,Website,Central,Healthcare,Small,Rahul,9.0,26.0,151,No,Positive,1,128889.8,2025-05-14
LEAD_0092,Referral,East,Healthcare,Enterprise,Sneha,10.0,27.0,49,Yes,No Response,0,0.0,2025-12-19
LEAD_0093,Referral,North,Healthcare,Enterprise,Neha,12.0,12.0,170,Yes,Negative,0,0.0,2024-06-23
LEAD_0094,Email Campaign,East,Technology,Enterprise,Amit,16.0,29.0,117,Yes,No Response,1,23305.71,2024-11-03
LEAD_0095,Cold Call,North,Retail,Large,Rahul,19.0,22.0,102,Yes,Negative,0,0.0,2024-09-21
LEAD_0096,Referral,East,Retail,Small,Vikram,,7.0,162,No,Positive,1,129604.62,2025-04-03
LEAD_0097,LinkedIn,North,Retail,Medium,Neha,9.0,28.0,8,Yes,Negative,1,67925.86,2025-09-20
LEAD_0098,Website,West,Finance,Medium,Vikram,13.0,18.0,175,Yes,Positive,1,47538.33,2024-11-16
LEAD_0099,Email Campaign,West,Education,Medium,Sneha,18.0,4.0,60,No,No Response,0,0.0,2025-08-18
LEAD_0100,Website,North,Retail,Large,Neha,17.0,5.0,19,No,Negative,0,0.0,2024-12-20
LEAD_0101,Referral,East,Retail,Large,Priya,12.0,27.0,124,Yes,Positive,1,48377.37,2025-01-09
LEAD_0102,Website,Central,Healthcare,Large,Amit,12.0,8.0,3,Yes,No Response,0,0.0,2025-05-21
LEAD_0103,Website,South,Education,Large,Priya,20.0,6.0,159,No,No Response,1,125761.64,2024-05-23
LEAD_0104,Cold Call,North,Technology,Large,Sneha,1.0,18.0,94,Yes,Positive,1,116283.26,2026-03-14
LEAD_0105,Referral,South,Finance,Medium,Vikram,11.0,16.0,129,No,Positive,1,52374.27,2024-09-17
LEAD_0106,Referral,East,Healthcare,Small,Sneha,2.0,4.0,58,No,No Response,0,0.0,2025-05-21
LEAD_0107,Referral,North,Healthcare,Small,Sneha,11.0,21.0,173,No,No Response,0,0.0,2025-05-02
LEAD_0108,Website,North,Finance,Enterprise,Amit,19.0,28.0,144,No,No Response,0,0.0,2025-09-13
LEAD_0109,LinkedIn,West,Healthcare,Enterprise,Amit,4.0,1.0,10,No,Negative,0,0.0,2026-01-08
LEAD_0110,Cold Call,Central,Finance,Enterprise,Sneha,11.0,21.0,179,No,No Response,0,0.0,2026-03-07
LEAD_0111,Referral,North,Retail,Enterprise,Rahul,,22.0,95,Yes,Negative,1,27405.82,2025-11-06
LEAD_0112,Cold Call,East,Technology,Large,Vikram,,11.0,16,No,Negative,0,0.0,2025-07-02
LEAD_0113,LinkedIn,West,Technology,Medium,Neha,20.0,19.0,6,Yes,Negative,0,0.0,2025-06-14
LEAD_0114,Cold Call,Central,Finance,Small,Vikram,6.0,18.0,56,Yes,Negative,0,0.0,2025-09-27
LEAD_0115,Email Campaign,North,Healthcare,Medium,Priya,17.0,8.0,45,Yes,No Response,1,119353.34,2025-02-22
LEAD_0116,Website,South,Education,Large,Amit,5.0,8.0,14,Yes,No Response,1,24111.47,2025-08-20
LEAD_0117,LinkedIn,North,Retail,Enterprise,Rahul,16.0,18.0,28,No,No Response,0,0.0,2024-09-10
LEAD_0118,Email Campaign,North,Education,Large,Sneha,20.0,,8,Yes,Negative,0,0.0,2026-02-27
LEAD_0119,LinkedIn,West,Retail,Small,Amit,10.0,19.0,38,Yes,Positive,1,66809.67,2024-09-21
LEAD_0120,Email Campaign,Central,Healthcare,Enterprise,Vikram,16.0,9.0,117,No,Positive,0,0.0,2025-08-11
LEAD_0121,Email Campaign,South,Retail,Enterprise,Priya,13.0,10.0,117,No,Negative,1,21590.04,2024-07-30
LEAD_0122,Website,East,Healthcare,Medium,Neha,15.0,2.0,24,Yes,Positive,1,50319.51,2025-06-11
LEAD_0123,Website,South,Education,Small,Vikram,17.0,17.0,85,Yes,Negative,0,0.0,2024-05-31
LEAD_0124,Referral,North,Healthcare,Large,Rahul,3.0,18.0,130,Yes,Positive,0,0.0,2024-11-18
LEAD_0125,LinkedIn,East,Education,Large,Amit,8.0,18.0,58,No,No Response,1,37515.51,2024-05-21
LEAD_0126,Email Campaign,Central,Technology,Large,Amit,5.0,8.0,180,No,Negative,1,123671.89,2025-01-28
LEAD_0127,Cold Call,South,Education,Enterprise,Amit,4.0,23.0,163,Yes,Positive,0,0.0,2025-07-12
LEAD_0128,Referral,West,Healthcare,Medium,Rahul,9.0,23.0,84,Yes,Positive,1,36194.27,2025-12-26
LEAD_0129,Email Campaign,North,Technology,Large,Sneha,13.0,15.0,156,No,Negative,0,0.0,2025-08-12
LEAD_0130,Email Campaign,North,Healthcare,Enterprise,Amit,9.0,21.0,174,No,No Response,0,0.0,2024-12-23
LEAD_0131,Referral,Central,Technology,Small,Priya,9.0,30.0,55,Yes,Negative,1,11585.52,2025-04-24
LEAD_0132,LinkedIn,North,Retail,Enterprise,Priya,4.0,12.0,137,Yes,No Response,0,0.0,2026-04-10
LEAD_0133,Website,North,Retail,Small,Sneha,0.0,14.0,20,No,No Response,0,0.0,2025-04-19
LEAD_0134,Referral,West,Healthcare,Small,Sneha,0.0,30.0,84,Yes,No Response,0,0.0,2025-09-22
LEAD_0135,Website,North,Retail,Small,Priya,13.0,18.0,103,Yes,Negative,0,0.0,2025-10-23
LEAD_0136,Cold Call,East,Finance,Small,Vikram,20.0,3.0,136,Yes,Negative,1,113141.7,2025-10-17
LEAD_0137,Cold Call,South,Technology,Medium,Rahul,6.0,5.0,155,Yes,No Response,0,0.0,2025-05-10
LEAD_0138,Referral,West,Education,Enterprise,Neha,18.0,20.0,163,No,No Response,0,0.0,2026-01-21
LEAD_0139,Referral,North,Retail,Enterprise,Neha,9.0,25.0,71,Yes,Negative,0,0.0,2025-09-01
LEAD_0140,Website,West,Retail,Small,Amit,11.0,26.0,74,Yes,No Response,0,0.0,2025-10-15
LEAD_0141,Email Campaign,Central,Education,Enterprise,Sneha,18.0,17.0,11,No,No Response,1,129017.54,2025-09-02
LEAD_0142,Referral,Central,Finance,Small,Sneha,3.0,25.0,88,Yes,No Response,1,51621.38,2025-01-10
LEAD_0143,LinkedIn,South,Retail,Enterprise,Vikram,16.0,19.0,41,No,Negative,0,0.0,2024-05-27
LEAD_0144,Website,Central,Technology,Large,Amit,10.0,3.0,143,No,Negative,1,61175.4,2025-12-23
LEAD_0145,Email Campaign,South,Healthcare,Small,Vikram,4.0,29.0,90,No,No Response,0,0.0,2026-02-13
LEAD_0146,Email Campaign,North,Healthcare,Enterprise,Neha,10.0,26.0,33,Yes,,1,61833.91,2025-12-13
LEAD_0147,LinkedIn,East,Healthcare,Medium,Priya,10.0,30.0,125,Yes,Positive,1,78730.83,2024-09-27
LEAD_0148,Website,North,Education,Small,Neha,10.0,28.0,159,Yes,No Response,1,27467.05,2024-06-26
LEAD_0149,Cold Call,South,Education,Medium,Neha,14.0,1.0,106,No,No Response,0,0.0,2025-12-25
LEAD_0150,Email Campaign,East,Retail,Medium,Vikram,7.0,,121,Yes,Negative,1,145590.35,2025-10-10
LEAD_0151,Referral,West,Healthcare,Enterprise,Vikram,16.0,13.0,42,Yes,No Response,1,87710.81,2026-02-23
LEAD_0152,Website,North,Retail,Large,Vikram,3.0,22.0,133,Yes,Negative,0,0.0,2024-06-15
LEAD_0153,Cold Call,East,Retail,Medium,Sneha,2.0,30.0,57,No,Negative,0,0.0,2026-02-14
LEAD_0154,Referral,Central,Healthcare,Medium,Sneha,2.0,11.0,58,Yes,Negative,1,65160.05,2024-12-22
LEAD_0155,Website,South,Finance,Small,Rahul,15.0,22.0,36,No,Negative,1,126680.56,2026-04-29
LEAD_0156,LinkedIn,North,Healthcare,Medium,Priya,17.0,30.0,156,No,Positive,0,0.0,2024-12-30
LEAD_0157,LinkedIn,North,Finance,Enterprise,Neha,19.0,14.0,17,Yes,Negative,1,39457.83,2024-08-02
LEAD_0158,LinkedIn,Central,Education,Medium,Neha,4.0,9.0,110,Yes,No Response,0,0.0,2025-10-24
LEAD_0159,Email Campaign,West,Finance,Small,Vikram,11.0,2.0,135,Yes,Negative,0,0.0,2024-07-03
LEAD_0160,Referral,East,Healthcare,Small,Rahul,2.0,,62,Yes,No Response,1,11312.49,2024-12-23
LEAD_0161,LinkedIn,East,Education,Large,Neha,5.0,26.0,176,No,No Response,1,53215.2,2024-12-12
LEAD_0162,Cold Call,South,Technology,Enterprise,Amit,9.0,6.0,12,Yes,Positive,0,0.0,2025-11-07
LEAD_0163,Website,Central,Retail,Enterprise,Rahul,,24.0,166,Yes,Negative,0,0.0,2026-01-19
LEAD_0164,LinkedIn,East,Healthcare,Small,Rahul,13.0,28.0,103,No,Negative,0,0.0,2024-08-17
LEAD_0165,Cold Call,West,Retail,Large,Vikram,8.0,25.0,22,No,Positive,0,0.0,2024-07-18
LEAD_0166,Cold Call,Central,Healthcare,Large,Amit,2.0,10.0,170,No,Negative,0,0.0,2025-05-09
LEAD_0167,Referral,South,Retail,Large,Sneha,1.0,23.0,91,No,Negative,0,0.0,2024-08-16
LEAD_0168,LinkedIn,North,Retail,Large,Vikram,5.0,30.0,8,Yes,No Response,0,0.0,2024-09-08
LEAD_0169,Cold Call,North,Finance,Large,Rahul,12.0,30.0,146,Yes,No Response,1,68535.06,2025-07-09
LEAD_0170,Referral,East,Healthcare,Enterprise,Amit,18.0,4.0,136,No,Negative,0,0.0,2025-03-25
LEAD_0171,Website,South,Technology,Small,Neha,5.0,15.0,133,No,No Response,0,0.0,2025-03-31
LEAD_0172,Website,West,Finance,Large,Neha,15.0,6.0,32,Yes,Positive,0,0.0,2025-10-03
LEAD_0173,Referral,North,Healthcare,Large,Neha,2.0,17.0,139,No,Negative,0,0.0,2026-02-07
LEAD_0174,Cold Call,East,Education,Medium,Amit,6.0,25.0,36,Yes,Negative,1,108212.32,2024-12-01
LEAD_0175,Email Campaign,Central,Healthcare,Enterprise,Vikram,4.0,19.0,23,Yes,Negative,0,0.0,2026-02-05
LEAD_0176,Referral,Central,Retail,Enterprise,Vikram,2.0,4.0,82,Yes,Negative,0,0.0,2025-05-22
LEAD_0177,Email Campaign,East,Finance,Medium,Priya,13.0,16.0,15,Yes,No Response,0,0.0,2024-06-04
LEAD_0178,Cold Call,South,Healthcare,Medium,Rahul,16.0,28.0,73,Yes,Negative,0,0.0,2024-07-27
LEAD_0179,Email Campaign,East,Finance,Large,Vikram,17.0,2.0,129,Yes,No Response,0,0.0,2024-06-25
LEAD_0180,Email Campaign,Central,Healthcare,Small,Amit,2.0,1.0,165,No,No Response,1,27358.17,2025-07-14
LEAD_0181,Email Campaign,West,Education,Small,Sneha,20.0,17.0,75,No,,0,0.0,2025-12-02
LEAD_0182,Referral,East,Retail,Small,Neha,1.0,5.0,113,No,Negative,0,0.0,2025-08-24
LEAD_0183,Website,Central,Finance,Large,Neha,10.0,23.0,89,No,Positive,0,0.0,2026-01-30
LEAD_0184,LinkedIn,East,Finance,Enterprise,Amit,8.0,14.0,64,Yes,Positive,1,79672.12,2024-10-27
LEAD_0185,Referral,Central,Retail,Medium,Priya,,29.0,148,No,Positive,0,0.0,2025-03-29
LEAD_0186,Email Campaign,West,Retail,Large,Sneha,0.0,2.0,101,No,Positive,1,77248.5,2024-07-18
LEAD_0187,Website,North,Technology,Large,Sneha,19.0,28.0,168,No,Negative,0,0.0,2025-03-16
LEAD_0188,LinkedIn,West,Finance,Large,Neha,11.0,24.0,104,No,Positive,0,0.0,2025-11-21
LEAD_0189,Email Campaign,Central,Finance,Large,Vikram,9.0,2.0,99,No,No Response,0,0.0,2026-03-23
LEAD_0190,Email Campaign,Central,Technology,Medium,Amit,12.0,11.0,87,No,Positive,0,0.0,2025-06-16
LEAD_0191,Email Campaign,West,Education,Small,Amit,1.0,4.0,86,No,No Response,0,0.0,2024-08-09
LEAD_0192,Email Campaign,Central,Finance,Large,Vikram,10.0,5.0,101,No,No Response,0,0.0,2025-07-23
LEAD_0193,Email Campaign,Central,Retail,Large,Sneha,0.0,11.0,85,Yes,Negative,0,0.0,2025-09-24
LEAD_0194,LinkedIn,Central,Retail,Large,Neha,18.0,18.0,59,Yes,No Response,0,0.0,2026-03-14
LEAD_0195,Email Campaign,Central,Retail,Medium,Neha,7.0,1.0,147,Yes,Positive,0,0.0,2024-08-10
LEAD_0196,Website,West,Finance,Enterprise,Neha,6.0,13.0,129,No,No Response,0,0.0,2025-05-23
LEAD_0197,Email Campaign,South,Education,Large,Neha,15.0,16.0,97,No,Positive,1,107337.41,2024-10-31
LEAD_0198,Email Campaign,East,Education,Large,Neha,20.0,25.0,178,No,No Response,0,0.0,2026-03-09
LEAD_0199,Cold Call,East,Education,Large,Priya,9.0,24.0,74,Yes,No Response,0,0.0,2024-08-24
LEAD_0200,Website,Central,Healthcare,Large,Amit,18.0,21.0,140,No,Negative,1,50970.91,2025-01-15
LEAD_0201,Cold Call,East,Technology,Large,Neha,2.0,11.0,114,No,No Response,1,143418.29,2025-04-22
LEAD_0202,Cold Call,Central,Healthcare,Large,Priya,3.0,19.0,151,Yes,Positive,0,0.0,2026-01-04
LEAD_0203,Email Campaign,South,Finance,Small,Amit,13.0,10.0,121,Yes,No Response,0,0.0,2024-06-30
LEAD_0204,Email Campaign,South,Retail,Enterprise,Sneha,20.0,6.0,74,No,Negative,1,5751.31,2024-05-16
LEAD_0205,LinkedIn,Central,Finance,Small,Priya,13.0,,46,Yes,Negative,0,0.0,2024-09-29
LEAD_0206,Website,North,Technology,Large,Vikram,19.0,3.0,86,No,Negative,1,32015.19,2025-08-14
LEAD_0207,Referral,South,Education,Enterprise,Rahul,6.0,25.0,29,No,Positive,1,83778.57,2026-02-04
LEAD_0208,Cold Call,North,Healthcare,Large,Vikram,6.0,5.0,157,No,Negative,1,99001.37,2024-07-08
LEAD_0209,LinkedIn,West,Technology,Medium,Priya,15.0,10.0,64,Yes,Negative,0,0.0,2025-07-07
LEAD_0210,Referral,East,Healthcare,Large,Vikram,18.0,0.0,67,No,No Response,0,0.0,2026-04-25
LEAD_0211,LinkedIn,West,Healthcare,Medium,Sneha,16.0,29.0,80,Yes,No Response,0,0.0,2025-02-26
LEAD_0212,Email Campaign,South,Finance,Medium,Sneha,4.0,14.0,156,No,Negative,1,47780.45,2024-06-09
LEAD_0213,Email Campaign,South,Finance,Small,Vikram,14.0,16.0,93,Yes,No Response,1,137355.55,2025-09-17
LEAD_0214,Email Campaign,Central,Finance,Medium,Priya,10.0,27.0,134,No,Positive,0,0.0,2026-03-24
LEAD_0215,Referral,North,Education,Enterprise,Amit,14.0,4.0,132,No,Negative,1,108953.11,2024-12-30
LEAD_0216,Email Campaign,West,Healthcare,Small,Sneha,8.0,26.0,1,Yes,No Response,0,0.0,2026-02-17
LEAD_0217,Referral,East,Technology,Small,Amit,15.0,1.0,74,No,,0,0.0,2024-11-19
LEAD_0218,Referral,East,Retail,Enterprise,Sneha,12.0,,175,Yes,No Response,1,116045.01,2026-05-01
LEAD_0219,Email Campaign,West,Education,Medium,Neha,7.0,,1,Yes,,1,22201.81,2025-10-23
LEAD_0220,Email Campaign,West,Education,Enterprise,Priya,7.0,14.0,89,Yes,Negative,0,0.0,2025-12-18
LEAD_0221,LinkedIn,North,Retail,Small,Priya,6.0,2.0,26,Yes,Negative,0,0.0,2025-07-25
LEAD_0222,LinkedIn,South,Technology,Enterprise,Sneha,7.0,17.0,56,Yes,Positive,0,0.0,2025-07-31
LEAD_0223,Website,South,Education,Large,Vikram,19.0,24.0,173,No,Positive,0,0.0,2026-01-26
LEAD_0224,Cold Call,Central,Finance,Enterprise,Rahul,8.0,1.0,143,Yes,No Response,0,0.0,2025-10-03
LEAD_0225,LinkedIn,East,Retail,Large,Neha,13.0,13.0,39,No,Negative,1,85598.35,2025-09-09
LEAD_0226,Email Campaign,West,Finance,Medium,Rahul,4.0,25.0,119,Yes,No Response,0,0.0,2026-03-08
LEAD_0227,Referral,Central,Education,Medium,Sneha,7.0,8.0,53,No,No Response,0,0.0,2025-01-21
LEAD_0228,Referral,East,Technology,Medium,Amit,8.0,12.0,173,Yes,Positive,0,0.0,2024-09-30
LEAD_0229,Email Campaign,Central,Finance,Enterprise,Priya,,9.0,4,Yes,Positive,0,0.0,2025-11-18
LEAD_0230,Referral,South,Education,Medium,Sneha,7.0,17.0,83,No,Negative,1,22010.85,2024-11-07
LEAD_0231,Website,East,Healthcare,Large,Vikram,15.0,14.0,26,No,Negative,0,0.0,2024-05-07
LEAD_0232,Referral,North,Education,Medium,Neha,4.0,0.0,67,No,Negative,1,58752.21,2026-04-21
LEAD_0233,Website,South,Retail,Medium,Sneha,17.0,20.0,176,No,Negative,0,0.0,2025-09-25
LEAD_0234,Referral,West,Finance,Large,Priya,4.0,23.0,140,No,Positive,1,75850.06,2025-02-04
LEAD_0235,LinkedIn,Central,Technology,Small,Neha,1.0,24.0,2,No,Positive,1,83609.84,2025-11-03
LEAD_0236,Cold Call,North,Finance,Enterprise,Rahul,1.0,19.0,164,No,No Response,1,38557.84,2025-08-27
